,0,1,2,3
0,1697792,100028,1,1442999924
1,1697792,1029136,1,1442999816
2,1697792,1356157,1,1442401329
3,1697792,1356157,1,1442401293
4,2240515,972388,1,1446008540
5,2240515,2051717,1,1446008464
6,1746949,629437,1,1446573271
7,591878,463365,1,1446742922
8,1163271,2183288,1,1442633865
9,414425,970015,1,1446151167
10,414425,2265745,1,1446151021
11,414425,691437,1,1446150997
12,414425,1382930,1,1446150941
13,414425,2371365,1,1446150898
14,414425,2491223,1,1446150646
15,414425,2214937,1,1446150622
16,414425,300053,1,1446150486
17,2217995,1869036,1,1446977687
18,2217995,447247,1,1446977641
19,2217995,2734527,1,1446977617
20,2217995,2701078,1,1446977593
21,2217995,730277,1,1446977507
22,2217995,2417933,1,1446976969
23,2217995,1823314,1,1444758289
24,2217995,2659743,1,1444758218
25,2217995,1329008,1,1444758111
26,2217995,599811,1,1444757923
27,2217995,624915,1,1444757862
28,2217995,1823314,1,1444757764
29,2217995,1823314,1,1444757750
30,2217995,1181085,1,1444757690
31,2217995,2050079,1,1444391237
32,2217995,2600542,1,1443990455
33,2217995,2050079,1,1443990397
34,2217995,1742926,1,1442038021
35,2217995,2260776,1,1442037927
36,2217995,514984,1,1442037898
37,2279436,1550643,1,1446883606
38,1554445,2192333,1,1445580394
39,2205710,1430243,1,1446645727
40,2205710,1149693,1,1446123307
41,1736719,2258655,1,1445983695
42,1736719,2258655,1,1445983668
43,1736719,724611,1,1445787305
44,1736719,1836075,1,1445787187
45,1736719,579732,1,1445787105
46,1736719,724611,1,1445787054
47,1736719,1702875,1,1445787005
48,1736719,2258655,1,1445786990
49,1611792,866712,1,1445157401
50,1611792,1095965,1,1444902021
51,1611792,1095965,1,1444891214
52,1611792,529415,2,1444646122
53,1611792,529415,3,1444646122
54,1611792,529415,1,1444646061
55,1611792,1779540,1,1444056491
56,1611792,415979,1,1443608398
57,1611792,647207,1,1443087194
58,1611792,2276084,1,1443087193
59,1611792,1970249,1,1443087190
60,1611792,1819340,1,1442643266
61,1611792,2035581,3,1442292600
62,1611792,2035581,1,1442292506
63,1611792,638382,1,1442203885
64,1611792,1688756,1,1442203838
65,1611792,601067,3,1441886461
66,1611792,601067,1,1441886386
67,1611792,198646,1,1441862604
68,1611792,890038,1,1441278995
69,1611792,1384527,1,1441278749
70,1611792,2819514,1,1441278726
71,1611792,657526,1,1441278722
72,1611792,1474081,1,1441278714
73,1611792,1293254,1,1441278648
74,1611792,1069001,1,1441278614
75,1611792,2339425,1,1441278549
76,1611792,503163,1,1441278539
77,1611792,617020,1,1441278533
78,1611792,2133222,1,1441278528
79,1611792,830399,1,1441278509
80,1611792,218702,1,1441278470
81,1611792,568901,2,1441278428
82,1611792,568901,3,1441278428
83,1611792,568901,1,1441278406
84,1611792,1015199,2,1441278402
85,1611792,1015199,3,1441278402
86,2433044,845794,1,1445453278
87,798742,721214,1,1446020789
88,2877464,2265277,1,1446479690
89,2877464,2830020,1,1446479576
90,2877464,1121497,1,1446479300
91,2877464,535955,1,1446479192
92,2877464,1707227,1,1446479069
93,2877464,1572868,1,1446478934
94,2877464,1754496,1,1446329615
95,2877464,2491223,1,1445944530
96,626940,424832,1,1440053983
97,626940,2813925,1,1440053813
98,626940,801890,1,1440053804
99,626940,2296080,1,1440053708
100,626940,799966,1,1440053684
101,626940,1238773,1,1440053383
102,626940,2207782,1,1440053352
103,626940,105739,1,1440053320
104,1941532,2705759,1,1445725275
105,1951773,816589,1,1447005729
106,1951773,449334,1,1447005682
107,1951773,91611,1,1446996785
108,1951773,303092,1,1446996333
109,1951773,1590938,1,1446996328
110,1951773,91611,1,1446996171
111,1951773,91611,1,1446996123
112,1951773,641774,1,1446996119
113,1951773,1919915,1,1446996024
114,1951773,116464,1,1446922111
115,1951773,934269,1,1446922093
116,1951773,563728,1,1446921952
117,1951773,1098083,1,1446921886
118,1951773,2063427,1,1446921858
119,1951773,1600445,1,1446921846
120,1951773,1624767,1,1446921823
121,1951773,2201160,1,1446921785
122,1951773,993060,1,1446921740
123,1951773,993060,1,1446921738
124,1951773,993060,2,1446921545
125,1951773,993060,1,1446921506
126,1951773,1888822,1,1446921492
127,1951773,1888822,1,1446921491
128,1951773,1888822,1,1446921349
129,1951773,2087654,1,1446921164
130,1749022,414122,1,1446357650
131,1749022,2720839,1,1441513434
132,1749022,2720839,1,1440860951
133,1749022,1682441,1,1440486579
134,1970209,929959,2,1444667793
135,1970209,929959,1,1444667628
136,1970209,2468811,1,1444667256
137,1970209,2468811,1,1444667123
138,1970209,2468811,2,1444666815
139,1802281,2768170,1,1446731112
140,1802281,2768170,1,1446731084
141,1802281,1112507,1,1446730316
142,1802281,1212857,1,1446730206
143,1802281,1842144,1,1446729937
144,1802281,2778525,1,1446729924
145,1802281,1244196,1,1446729889
146,1802281,2794872,1,1446536304
147,1802281,2308488,1,1446536260
148,1802281,721059,1,1446536126
149,1802281,1704682,1,1446536103
150,1802281,1157923,1,1446535905
151,1802281,2778525,1,1446535694
152,1802281,1694689,1,1446117699
153,1802281,584519,1,1446117569
154,1802281,684733,1,1446117367
155,1802281,828489,1,1446117319
156,1802281,2126677,1,1446117247
157,1802281,1842144,1,1446116986
158,2166826,1356389,1,1445800375
159,2166826,719725,1,1445800350
160,2166826,719725,1,1445800302
161,2166826,335604,1,1445800067
162,434220,181004,3,1446718013
163,434220,181004,3,1446717965
164,434220,1752441,1,1446711051
165,434220,2393153,3,1446710778
166,434220,2398809,1,1446710664
167,434220,1867926,1,1446710600
168,434220,1308032,1,1446710221
169,434220,181004,1,1446710165
170,434220,2393153,1,1446710025
171,434220,2577886,1,1446709906
172,434220,2364286,1,1446191141
173,434220,2388004,1,1446190127
174,434220,2714333,1,1446189885
175,434220,1931788,1,1446189815
176,434220,23809,1,1446189749
177,434220,1047792,1,1446189569
178,434220,546281,1,1441791593
179,434220,1344140,1,1441773721
180,20525,1529535,1,1445930917
181,20525,481441,1,1445930862
182,20525,650422,1,1445930829
183,20525,1718055,1,1445930764
184,2224611,602915,1,1443506079
185,2224611,1268058,1,1443426600
186,2224611,1575243,1,1441712049
187,2203334,614700,1,1446821764
188,2203334,614700,1,1446821655
189,2203334,2761414,1,1445098672
190,2203334,2761414,1,1445098612
191,2203334,2462072,1,1445098576
192,2203334,2462072,1,1445098483
193,682033,1485135,1,1446713560
194,697029,1069034,1,1446640535
195,697029,2769076,1,1446640443
196,2007091,101394,2,1445471050
197,2007091,101394,1,1445471022
198,2007091,2402254,2,1445470912
199,2007091,2402254,1,1445470859
200,2007091,118115,2,1445470716
201,2346334,41076,1,1446485585
202,2346334,41076,1,1445773905
203,2582582,301071,1,1440094708
204,2824247,2355206,1,1446548036
205,2824247,551635,1,1446548017
206,2824247,2290678,1,1446547987
207,2824247,1904269,1,1446547797
208,2824247,1517024,1,1446547728
209,2824247,1404891,1,1446547719
210,2824247,448605,1,1446547633
211,2824247,966979,1,1446547045
212,2824247,1588612,1,1446546966
213,2824247,966979,1,1446546947
214,2824247,2355206,1,1446242050
215,2824247,551635,1,1446242027
216,2824247,2290678,1,1446241770
217,2824247,1904269,1,1446241694
218,2783290,1327378,1,1446191320
219,2783290,1327378,1,1446058810
220,2783290,1327378,1,1446058617
221,2783290,706307,1,1446024480
222,2783290,1327378,2,1446024045
223,2783290,1327378,1,1446024035
224,2783290,608289,3,1445241599
225,2783290,608289,1,1445241220
226,2783290,608289,1,1445194158
227,2783290,608289,1,1445194136
228,2783290,608289,2,1445016433
229,2783290,608289,1,1445016363
230,2783290,455938,1,1445016348
231,2783290,1017609,1,1444325919
232,2783290,168936,1,1443836180
233,2783290,109404,1,1443836116
234,2783290,1531281,1,1443836097
235,2783290,1388615,1,1443835790
236,2783290,1939413,1,1443835627
237,2783290,1388615,1,1443154753
238,2783290,168936,2,1443154486
239,2783290,168936,1,1443154425
240,2783290,1859862,1,1442416699
241,2783290,1717315,1,1442416173
242,2783290,309100,1,1441543457
243,2783290,309100,1,1441543413
244,2783290,309100,2,1441543078
245,1796155,1199414,1,1445270179
246,1796155,1106820,1,1445270166
247,1796155,1646883,1,1445269966
248,2660413,2244464,1,1446974434
249,2388031,807419,3,1443390549
250,1226818,1620145,1,1446551567
251,1226818,244777,1,1446544746
252,1226818,2529364,1,1444733517
253,2134084,1501578,1,1446057642
254,2134084,1447302,1,1446057624
255,2134084,1501578,1,1445631018
256,2134084,1447302,1,1445630863
257,2134084,1447302,1,1445630852
258,2134084,2530201,1,1444594758
259,2652232,2637385,1,1444721584
260,2652232,1590201,1,1442991253
261,2652232,195347,1,1442991114
262,2652232,1783205,1,1442991083
263,583754,265187,1,1445642778
264,583754,265187,1,1445642660
265,583754,1382533,1,1445642438
266,583754,1382533,1,1445642391
267,583754,1771963,1,1443545486
268,583754,1771963,1,1443545471
269,917583,1223431,1,1446639792
270,917583,1077774,1,1446639732
271,917583,533421,1,1441004983
272,917583,193454,1,1441004925
273,1089617,2282190,1,1446621204
274,1603666,1070727,1,1446734686
275,1603666,269512,1,1446734676
276,1603666,2010573,1,1446734645
277,1603666,1652584,1,1446734516
278,843859,2651519,1,1446818397
279,843859,1312787,1,1446196112
280,843859,1076933,1,1446195875
281,843859,224117,1,1445837630
282,843859,2656500,1,1444075513
283,843859,2317948,1,1443625161
284,843859,213792,1,1442895158
285,843859,2317948,1,1442894477
286,843859,2584940,1,1441864016
287,2570324,1776330,1,1445872350
288,1583190,2117630,1,1446877860
289,1583190,2393265,1,1446877711
290,1583190,771171,1,1446877706
291,1583190,2269715,1,1446877637
292,1583190,2269715,1,1446877634
293,1583190,2204002,1,1446877592
294,1583190,771171,1,1446808374
295,1583190,491429,1,1446808342
296,1583190,117291,1,1446661078
297,1583190,2086252,1,1446624956
298,1583190,2821119,1,1446624829
299,1583190,28390,1,1446624700
300,1583190,1694879,1,1446624680
