user_id,recommended_items
285,561002 2123252 2469612 35505 478401
902,1443706 358411 1244196 657183 1162250
948,1053542 1244196 2778525 1156803 1129899
1183,1096406 1664426 2117630 2393265 2214708
1286,2778525 1244196 1386412 657183 2791339
1509,892333 2086041 2182715 1865831 1835742
1776,1277140 1757758 1687056 588206 939717
1982,2778525 1244196 1386412 657183 2791339
2742,2778525 1244196 1386412 657183 2791339
3161,472040 723096 665194 2371498 920509
3256,1244196 1069281 1047625 2796479 784737
3375,2778525 1244196 42452 538069 2031981
3547,2778525 1244196 1386412 657183 2791339
3630,415358 2750191 1754448 1443706 2501356
3806,1175028 1750840 2625432 2425120 2198238
4607,2778525 1244196 1386412 657183 2791339
5112,2778525 1244196 1386412 657183 2791339
5627,345660 314274 1937957 2778525 1244196
5686,926828 310350 1465560 1527872 2137463
5738,2778525 538069 1244196 2310939 1774879
5839,1069281 1443706 2313894 657183 1953846
6442,315406 1412389 541200 2464913 2526744
7182,2014172 248636 2340784 1183228 2489267
7693,2778525 1244196 1386412 657183 2791339
8316,2476988 983047 2538053 20049 1982238
9660,266196 700509 1262034 2268963 2817792
9680,624750 2184058 10811 431272 2272823
10044,2232786 388367 1208433 413194 1145829
10316,784737 1386412 2002097 830073 1162250
10469,88271 1143105 1158257 1937899 2367864
10470,2154395 353289 1024225 2160902 2632128
10870,2778525 1244196 1386412 657183 2791339
10956,192785 2137413 2372201 300053 546579
11027,1147424 1791528 466173 145591 2042286
11380,434421 152969 2200859 1608366 2705558
11423,2778525 1244196 1386412 657183 2791339
11805,178439 1604818 1421766 2673524 1175235
12046,2036333 790953 914591 1432589 1446413
12097,1386412 1092821 784737 536047 343377
12233,2778525 1244196 1386412 657183 2791339
12593,1216431 702963 1534045 1001431 2276798
12626,1322673 1631256 2118010 353713 2292469
12630,1099748 2393613 2761339 784181 727382
12671,2568608 524925 522348 529889 2453965
12689,1105190 543769 788710 991588 1076185
12750,657183 1162250 830073 1386412 343377
12852,406835 1074097 2485053 1102260 2255401
13715,2778525 1244196 1386412 657183 2791339
14269,823512 1053542 1244196 1241609 2310939
14624,468120 266412 2420135 2459081 1953846
14792,468120 1244196 1015502 1679143 1235325
14966,100343 504015 1065643 1210470 1919608
15006,723777 1609009 1455747 823993 1291538
15100,510106 655749 1172132 1409571 1562308
15549,784737 1386412 2002097 1053542 1244196
15611,1870216 85893 146364 1613025 1841182
16228,2778525 1244196 1386412 657183 2791339
16874,483871 2057312 2216677 2232446 604278
16971,2539956 1308032 1291947 825883 127153
18097,1353323 1428371 42465 1168736 1452405
18564,1576126 1953846 468120 1047625 1679143
18796,385584 1822566 2730930 269398 760206
18994,337914 406606 1309002 634598 951204
19544,1919107 2419733 914870 2054171 448560
19679,60317 73995 546036 1254226 1656648
19704,712930 2330317 956110 1496101 66772
20101,919742 1655463 2566970 1164312 105999
20679,2466095 542471 791461 1528443 2326175
20815,1407200 1074013 557005 340121 890051
20979,1029640 1702541 485102 1449761 2588067
21195,164623 77356 1477642 1520277 1567110
21324,225268 1796117 2049238 128886 1167500
21578,2778525 1244196 1386412 657183 2791339
21627,1953745 266817 2093033 2728896 2783906
21663,2617752 213472 57460 2167880 2209942
21813,2024094 59091 592140 1585842 1212859
21835,468120 2420135 1069281 1953846 650831
